Name,Domain,Indicator,Year,GeogID,Absolute_Threshold,Heat_Metric,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
ARIZONA,CC,79,2013,ALL,90 degrees F,Daily Maximum Temperature,ALL,423,80.2,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
APACHE,CC,79,2014,4001,90 degrees F,Daily Maximum Temperature,ALL,423,0,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCHISE,CC,79,2014,4003,90 degrees F,Daily Maximum Temperature,ALL,423,37,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCONINO,CC,79,2014,4005,90 degrees F,Daily Maximum Temperature,ALL,423,0,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GILA,CC,79,2014,4007,90 degrees F,Daily Maximum Temperature,ALL,423,50,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GRAHAM,CC,79,2014,4009,90 degrees F,Daily Maximum Temperature,ALL,423,92,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GREENLEE,CC,79,2014,4011,90 degrees F,Daily Maximum Temperature,ALL,423,71,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
LA PAZ,CC,79,2014,4012,90 degrees F,Daily Maximum Temperature,ALL,423,137,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MARICOPA,CC,79,2014,4013,90 degrees F,Daily Maximum Temperature,ALL,423,138,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MOHAVE,CC,79,2014,4015,90 degrees F,Daily Maximum Temperature,ALL,423,128,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
NAVAJO,CC,79,2014,4017,90 degrees F,Daily Maximum Temperature,ALL,423,3,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PIMA,CC,79,2014,4019,90 degrees F,Daily Maximum Temperature,ALL,423,112,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PINAL,CC,79,2014,4021,90 degrees F,Daily Maximum Temperature,ALL,423,133,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
SANTA CRUZ,CC,79,2014,4023,90 degrees F,Daily Maximum Temperature,ALL,423,42,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YAVAPAI,CC,79,2014,4025,90 degrees F,Daily Maximum Temperature,ALL,423,27,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YUMA,CC,79,2014,4027,90 degrees F,Daily Maximum Temperature,ALL,423,144,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
ARIZONA,CC,79,2014,ALL,90 degrees F,Daily Maximum Temperature,ALL,423,74.27,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
APACHE,CC,79,2015,4001,90 degrees F,Daily Maximum Temperature,ALL,423,10,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCHISE,CC,79,2015,4003,90 degrees F,Daily Maximum Temperature,ALL,423,57,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCONINO,CC,79,2015,4005,90 degrees F,Daily Maximum Temperature,ALL,423,3,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GILA,CC,79,2015,4007,90 degrees F,Daily Maximum Temperature,ALL,423,70,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GRAHAM,CC,79,2015,4009,90 degrees F,Daily Maximum Temperature,ALL,423,116,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GREENLEE,CC,79,2015,4011,90 degrees F,Daily Maximum Temperature,ALL,423,101,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
LA PAZ,CC,79,2015,4012,90 degrees F,Daily Maximum Temperature,ALL,423,132,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MARICOPA,CC,79,2015,4013,90 degrees F,Daily Maximum Temperature,ALL,423,129,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MOHAVE,CC,79,2015,4015,90 degrees F,Daily Maximum Temperature,ALL,423,121,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
NAVAJO,CC,79,2015,4017,90 degrees F,Daily Maximum Temperature,ALL,423,20,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PIMA,CC,79,2015,4019,90 degrees F,Daily Maximum Temperature,ALL,423,119,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PINAL,CC,79,2015,4021,90 degrees F,Daily Maximum Temperature,ALL,423,128,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
SANTA CRUZ,CC,79,2015,4023,90 degrees F,Daily Maximum Temperature,ALL,423,60,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YAVAPAI,CC,79,2015,4025,90 degrees F,Daily Maximum Temperature,ALL,423,43,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YUMA,CC,79,2015,4027,90 degrees F,Daily Maximum Temperature,ALL,423,132,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
ARIZONA,CC,79,2015,ALL,90 degrees F,Daily Maximum Temperature,ALL,423,82.73,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
APACHE,CC,79,2016,4001,90 degrees F,Daily Maximum Temperature,ALL,423,9,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCHISE,CC,79,2016,4003,90 degrees F,Daily Maximum Temperature,ALL,423,55,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
COCONINO,CC,79,2016,4005,90 degrees F,Daily Maximum Temperature,ALL,423,4,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GILA,CC,79,2016,4007,90 degrees F,Daily Maximum Temperature,ALL,423,62,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GRAHAM,CC,79,2016,4009,90 degrees F,Daily Maximum Temperature,ALL,423,104,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
GREENLEE,CC,79,2016,4011,90 degrees F,Daily Maximum Temperature,ALL,423,86,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
LA PAZ,CC,79,2016,4012,90 degrees F,Daily Maximum Temperature,ALL,423,135,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MARICOPA,CC,79,2016,4013,90 degrees F,Daily Maximum Temperature,ALL,423,135,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
MOHAVE,CC,79,2016,4015,90 degrees F,Daily Maximum Temperature,ALL,423,119,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
NAVAJO,CC,79,2016,4017,90 degrees F,Daily Maximum Temperature,ALL,423,20,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PIMA,CC,79,2016,4019,90 degrees F,Daily Maximum Temperature,ALL,423,111,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
PINAL,CC,79,2016,4021,90 degrees F,Daily Maximum Temperature,ALL,423,131,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
SANTA CRUZ,CC,79,2016,4023,90 degrees F,Daily Maximum Temperature,ALL,423,59,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YAVAPAI,CC,79,2016,4025,90 degrees F,Daily Maximum Temperature,ALL,423,50,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
YUMA,CC,79,2016,4027,90 degrees F,Daily Maximum Temperature,ALL,423,139,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
ARIZONA,CC,79,2016,ALL,90 degrees F,Daily Maximum Temperature,ALL,423,81.27,2020-09-25T12:21:32.060,Number of extreme heat days,Historical Extreme Heat Days and Events,Climate
