Name,Domain,Indicator,Year,GeogID,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
MARICOPA,HSI,67,2012-2014,4013,ALL,370,191,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2012-2014,4015,ALL,370,9,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2012-2014,4015,ALL,370,9,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2012-2014,4019,ALL,370,12,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2012-2014,4019,ALL,370,12,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2012-2014,4023,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2012-2014,4023,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2012-2014,4025,ALL,370,6,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2012-2014,4025,ALL,370,6,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2012-2014,4027,ALL,370,10,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YUMA,HSI,67,2012-2014,4027,ALL,370,10,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2012-2014,ALL,ALL,370,17.733333,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
ARIZONA,HSI,67,2012-2014,ALL,ALL,370,17.733333,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
COCHISE,HSI,67,2013-2015,4003,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
COCHISE,HSI,67,2013-2015,4003,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GILA,HSI,67,2013-2015,4007,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GILA,HSI,67,2013-2015,4007,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2013-2015,4011,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
GREENLEE,HSI,67,2013-2015,4011,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2013-2015,4013,ALL,370,160,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2013-2015,4013,ALL,370,160,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2013-2015,4015,ALL,370,10,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2013-2015,4015,ALL,370,10,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2013-2015,4019,ALL,370,12,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2013-2015,4019,ALL,370,12,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2013-2015,4021,ALL,370,7,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PINAL,HSI,67,2013-2015,4021,ALL,370,7,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2013-2015,4023,ALL,370,0,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
SANTA CRUZ,HSI,67,2013-2015,4023,ALL,370,0,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2013-2015,4025,ALL,370,9,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
YAVAPAI,HSI,67,2013-2015,4025,ALL,370,9,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
